"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",211,211,""
"2","No",5739,5950,"DRD370J"
".","Missing",4303,10253,""
