"PFD069O.Code.or.Value","PFD069O.Value.Description","PFD069O.Count","PFD069O.Cumulative","PFD069O.Skip.to.Item"
"61 to 8766","Range of Values",94,94,NA
"66666","Since birth",0,94,NA
"77777","Refused",0,94,NA
"99999","Don't know",0,94,NA
".","Missing",9572,9666,NA
