"DRD370NQ.Code.or.Value","DRD370NQ.Value.Description","DRD370NQ.Count","DRD370NQ.Cumulative","DRD370NQ.Skip.to.Item"
"1 to 15","Range of Values",215,215,NA
".","Missing",9547,9762,NA
