"VTQ265B.Code.or.Value","VTQ265B.Value.Description","VTQ265B.Count","VTQ265B.Cumulative","VTQ265B.Skip.to.Item"
"1 to 48","Range of Values",824,824,NA
"77","Refused",0,824,NA
"99","Don't know",0,824,NA
".","Missing",2665,3489,NA
