"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 600","Range of Values",2052,2052,NA
"7777","Refused",0,2052,NA
"9999","Don't know",3,2055,NA
".","Missing",7429,9484,NA
