"SXQ648.Code.or.Value","SXQ648.Value.Description","SXQ648.Count","SXQ648.Cumulative","SXQ648.Skip.to.Item"
"1","Yes",590,590,NA
"2","No",2442,3032,NA
"7","Refused",1,3033,NA
"9","Don't know",0,3033,NA
".","Missing",2024,5057,NA
