"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"3 to 76","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
