"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",234,234,NA
"2","No",759,993,NA
"7","Refused",0,993,NA
"9","Don't know",4,997,NA
".","Missing",3138,4135,NA
