"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0 to 217.53","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
