"DXXVFATA.Code.or.Value","DXXVFATA.Value.Description","DXXVFATA.Count","DXXVFATA.Cumulative","DXXVFATA.Skip.to.Item"
"0 to 388.3","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
