"AUXLR159.Code.or.Value","AUXLR159.Value.Description","AUXLR159.Count","AUXLR159.Cumulative","AUXLR159.Skip.to.Item"
"-21 to 45","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
