"WTIREP43.Code.or.Value","WTIREP43.Value.Description","WTIREP43.Count","WTIREP43.Cumulative","WTIREP43.Skip.to.Item"
"0 to 239320.707","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
