"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 3.742","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
