"INQ012.Code.or.Value","INQ012.Value.Description","INQ012.Count","INQ012.Cumulative","INQ012.Skip.to.Item"
"1","Yes",1639,1639,NA
"2","No",7099,8738,NA
"7","Refused",22,8760,NA
"9","Don't know",20,8780,NA
".","Missing",474,9254,NA
