"SPDNACC.Code.or.Value","SPDNACC.Value.Description","SPDNACC.Count","SPDNACC.Cumulative","SPDNACC.Skip.to.Item"
"0 to 9","Range of Values",7173,7173,NA
".","Missing",1022,8195,NA
