"DXXL1A.Code.or.Value","DXXL1A.Value.Description","DXXL1A.Count","DXXL1A.Cumulative","DXXL1A.Skip.to.Item"
"8.26 to 21.91","Range of Values",3063,3063,NA
".","Missing",645,3708,NA
