"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"1.6 to 13.7","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
