"URXAAC.Code.or.Value","URXAAC.Value.Description","URXAAC.Count","URXAAC.Cumulative","URXAAC.Skip.to.Item"
"0.44 to 1200","Range of Values",2446,2446,NA
".","Missing",159,2605,NA
