"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",1919,1919,NA
"1","Below lower detection limit",1,1920,NA
".","Missing",727,2647,NA
