"TYXP027.Code.or.Value","TYXP027.Value.Description","TYXP027.Count","TYXP027.Cumulative","TYXP027.Skip.to.Item"
"-2 to 198","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
