"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2087,2087,NA
"1","Below lower detection limit",153,2240,NA
".","Missing",109,2349,NA
