"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.362 to 9.698","Range of Values",3105,3105,NA
".","Missing",224,3329,NA
