"OPDUSNV.Code.or.Value","OPDUSNV.Value.Description","OPDUSNV.Count","OPDUSNV.Cumulative","OPDUSNV.Skip.to.Item"
"0","No",3219,3219,NA
"1","Yes",0,3219,NA
".","Missing",644,3863,NA
