"GTDBL2MN.Code.or.Value","GTDBL2MN.Value.Description","GTDBL2MN.Count","GTDBL2MN.Cumulative","GTDBL2MN.Skip.to.Item"
"42 to 183","Range of Values",2346,2346,NA
".","Missing",563,2909,NA
