"LBXAPB.Code.or.Value","LBXAPB.Value.Description","LBXAPB.Count","LBXAPB.Cumulative","LBXAPB.Skip.to.Item"
"15 to 260","Range of Values",2992,2992,NA
".","Missing",247,3239,NA
