"SXD633.Code.or.Value","SXD633.Value.Description","SXD633.Count","SXD633.Cumulative","SXD633.Skip.to.Item"
"10 to 53","Range of Values",1624,1624,NA
"9","9 years or younger",16,1640,NA
"77","Refused",3,1643,NA
"99","Don't know",2,1645,NA
".","Missing",3657,5302,NA
