"WBXP071.Code.or.Value","WBXP071.Value.Description","WBXP071.Count","WBXP071.Cumulative","WBXP071.Skip.to.Item"
"-112.0581 to 144.355","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
