"BIXS011K.Code.or.Value","BIXS011K.Value.Description","BIXS011K.Count","BIXS011K.Cumulative","BIXS011K.Skip.to.Item"
"368.53 to 977.48","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
