"URDBMALC.Code.or.Value","URDBMALC.Value.Description","URDBMALC.Count","URDBMALC.Cumulative","URDBMALC.Skip.to.Item"
"0","At or above the detection limit",3143,3143,NA
"1","Below lower detection limit",26,3169,NA
".","Missing",148,3317,NA
