"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",489,489,NA
"2","No",7983,8472,NA
"7","Refused",1,8473,NA
"9","Don't know",12,8485,NA
".","Missing",1050,9535,NA
