"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1182,1182,NA
"2","Month",698,1880,NA
"3","Year",935,2815,NA
"7","Refused",0,2815,NA
"9","Don't know",0,2815,NA
".","Missing",1958,4773,NA
