"LB2STB.Code.or.Value","LB2STB.Value.Description","LB2STB.Count","LB2STB.Cumulative","LB2STB.Skip.to.Item"
"0.2 to 2.7","Range of Values",544,544,NA
".","Missing",2,546,NA
