"DTD020bF.Code.or.Value","DTD020bF.Value.Description","DTD020bF.Count","DTD020bF.Cumulative","DTD020bF.Skip.to.Item"
"56200490 to 999999999","Range of Values",3633,3633,NA
".","Missing",4908,8541,NA
