"DIQ120.Code.or.Value","DIQ120.Value.Description","DIQ120.Count","DIQ120.Cumulative","DIQ120.Skip.to.Item"
"1","Yes",754,754,""
"2","No",2723,3477,"DIQ140"
"7","Refused",3,3480,"DIQ140"
"9","Don't know",5,3485,"DIQ140"
".","Missing",6985,10470,""
