"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",7862,7862,NA
"2","Spanish",716,8578,NA
"3","English and Spanish",98,8676,NA
"4","Other",38,8714,NA
"5","Asian Languages",66,8780,NA
"6","Asian Languages and English",17,8797,NA
".","Missing",1016,9813,NA
