"AUDTYL60.Code.or.Value","AUDTYL60.Value.Description","AUDTYL60.Count","AUDTYL60.Cumulative","AUDTYL60.Skip.to.Item"
"0 to 2.06","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
