"DR1INIAC.Code.or.Value","DR1INIAC.Value.Description","DR1INIAC.Count","DR1INIAC.Cumulative","DR1INIAC.Skip.to.Item"
"0 to 77.632","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
