"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",316,316,"OSQ020b"
"2","No",3496,3812,""
"7","Refused",0,3812,""
"9","Don't know",3,3815,""
".","Missing",0,3815,""
