"DRD370MQ.Code.or.Value","DRD370MQ.Value.Description","DRD370MQ.Count","DRD370MQ.Cumulative","DRD370MQ.Skip.to.Item"
"1 to 30","Range of Values",1652,1652,NA
".","Missing",7892,9544,NA
