"DS2IKCAL.Code.or.Value","DS2IKCAL.Value.Description","DS2IKCAL.Count","DS2IKCAL.Cumulative","DS2IKCAL.Skip.to.Item"
"0 to 347.1","Range of Values",1122,1122,NA
".","Missing",4526,5648,NA
