"URDUMALC.Code.or.Value","URDUMALC.Value.Description","URDUMALC.Count","URDUMALC.Cumulative","URDUMALC.Skip.to.Item"
"0","At or above the detection limit",8277,8277,NA
"1","Below lower detection limit",3,8280,NA
".","Missing",328,8608,NA
