"BAXPFC11.Code.or.Value","BAXPFC11.Value.Description","BAXPFC11.Count","BAXPFC11.Cumulative","BAXPFC11.Skip.to.Item"
"1","Pass",849,849,"BAXPFC21"
"2","Dnp(did not pass)",4,853,""
".","Missing",158,1011,""
