"URDUTULC.Code.or.Value","URDUTULC.Value.Description","URDUTULC.Count","URDUTULC.Cumulative","URDUTULC.Skip.to.Item"
"0","At or above the detection limit",2558,2558,NA
"1","Below lower detection limit",289,2847,NA
".","Missing",94,2941,NA
