"LBDPFOAL.Code.or.Value","LBDPFOAL.Value.Description","LBDPFOAL.Count","LBDPFOAL.Cumulative","LBDPFOAL.Skip.to.Item"
"0","At or above the detection limit",2085,2085,NA
"1","Below lower detection limit",9,2094,NA
".","Missing",274,2368,NA
