"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1737,1737,NA
"1","Below lower detection limit",851,2588,NA
".","Missing",104,2692,NA
