"PFD069jQ.Code.or.Value","PFD069jQ.Value.Description","PFD069jQ.Count","PFD069jQ.Cumulative","PFD069jQ.Skip.to.Item"
"1 to 55","Range of Values",139,139,NA
"77777","Refused",0,139,NA
"99999","Don't know",0,139,NA
".","Missing",9354,9493,NA
