"DS2TVC.Code.or.Value","DS2TVC.Value.Description","DS2TVC.Count","DS2TVC.Cumulative","DS2TVC.Skip.to.Item"
"1.3 to 10000","Range of Values",2106,2106,NA
".","Missing",8147,10253,NA
