"OHD10LAS.Code.or.Value","OHD10LAS.Value.Description","OHD10LAS.Count","OHD10LAS.Cumulative","OHD10LAS.Skip.to.Item"
"0 to 8","Range of Values",2243,2243,NA
"99","Calculation cannot be determined",308,2551,NA
".","Missing",4167,6718,NA
