"OPX1OS18.Code.or.Value","OPX1OS18.Value.Description","OPX1OS18.Count","OPX1OS18.Cumulative","OPX1OS18.Skip.to.Item"
"0","None",35,35,NA
"6","p >= 5% 1st presentation",2751,2786,NA
"7","p >= 5% 2nd presentation",189,2975,NA
"8","p < 5%",128,3103,NA
"9","p < 2%",64,3167,NA
"10","p < 1%",185,3352,NA
".","Missing",511,3863,NA
