"URXPTU.Code.or.Value","URXPTU.Value.Description","URXPTU.Count","URXPTU.Cumulative","URXPTU.Skip.to.Item"
"0.25 to 2.82","Range of Values",2573,2573,NA
".","Missing",121,2694,NA
