"DR1TLYCO.Code.or.Value","DR1TLYCO.Value.Description","DR1TLYCO.Count","DR1TLYCO.Cumulative","DR1TLYCO.Skip.to.Item"
"0 to 103913","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
