"URXPPX.Code.or.Value","URXPPX.Value.Description","URXPPX.Count","URXPPX.Cumulative","URXPPX.Skip.to.Item"
"0.28 to 0.28","Range of Values",2387,2387,NA
".","Missing",225,2612,NA
