"DR1TIRON.Code.or.Value","DR1TIRON.Value.Description","DR1TIRON.Count","DR1TIRON.Cumulative","DR1TIRON.Skip.to.Item"
"0 to 88.32","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
