"CIQDPC.Code.or.Value","CIQDPC.Value.Description","CIQDPC.Count","CIQDPC.Cumulative","CIQDPC.Skip.to.Item"
"1","Yes",12,12,""
"2","No",59,71,"CIDDPRB"
"7","Refuse",0,71,"CIDDPRB"
"9","Don't know",0,71,"CIDDPRB"
".","Missing",779,850,""
