"DXXOFA.Code.or.Value","DXXOFA.Value.Description","DXXOFA.Count","DXXOFA.Cumulative","DXXOFA.Skip.to.Item"
"23.88 to 83.09","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
