"WBXP079.Code.or.Value","WBXP079.Value.Description","WBXP079.Count","WBXP079.Cumulative","WBXP079.Skip.to.Item"
"-169.4564 to 166.1521","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
