"DIQ100.Code.or.Value","DIQ100.Value.Description","DIQ100.Count","DIQ100.Cumulative","DIQ100.Skip.to.Item"
"1","Yes",775,775,""
"2","No",2521,3296,"DIQ120"
"7","Refused",0,3296,"DIQ120"
"9","Don't know",3,3299,"DIQ120"
".","Missing",6346,9645,""
