"SSDBUP.Code.or.Value","SSDBUP.Value.Description","SSDBUP.Count","SSDBUP.Cumulative","SSDBUP.Skip.to.Item"
"0.071 to 15.9","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
