"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"1 to 30","Range of Values",9222,9222,NA
"7777","Refused",0,9222,NA
"9999","Don't know",14,9236,NA
".","Missing",323,9559,NA
