"CIQP58.Code.or.Value","CIQP58.Value.Description","CIQP58.Count","CIQP58.Cumulative","CIQP58.Skip.to.Item"
"1","Yes",40,40,"CIQPPHA"
"2","No",32,72,""
".","Missing",856,928,""
