"MPD050p.Code.or.Value","MPD050p.Value.Description","MPD050p.Count","MPD050p.Cumulative","MPD050p.Skip.to.Item"
"25","Fingers/thumb - left",488,488,NA
".","Missing",4392,4880,NA
