"LBXSKSI.Code.or.Value","LBXSKSI.Value.Description","LBXSKSI.Count","LBXSKSI.Cumulative","LBXSKSI.Skip.to.Item"
"2.3 to 7.3","Range of Values",5973,5973,NA
".","Missing",576,6549,NA
