"SMQ666W.Code.or.Value","SMQ666W.Value.Description","SMQ666W.Count","SMQ666W.Cumulative","SMQ666W.Skip.to.Item"
"1","Regulars",0,0,NA
"2","Lights",1,1,NA
"3","Ultralights",1,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",7443,7445,NA
