"RFXC068.Code.or.Value","RFXC068.Value.Description","RFXC068.Count","RFXC068.Cumulative","RFXC068.Skip.to.Item"
"-7.553 to 5.225","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
